"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ZeeshankhanINC: Modi’s government has been actively censoring internet access and activity, with a unilateral blocking of websites #NRI…",FALSE,0,NA,2015-09-23 17:38:24,FALSE,NA,"646740412581978112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pappubhai13",5,TRUE,FALSE,NA,NA
"RT @madhukishwar: Thank God ill advised Encryption policy withdrawn.Such UTurns after foolish moves confirm that Modi cabinet novices in th…",FALSE,0,NA,2015-09-23 17:38:24,FALSE,NA,"646740411025858562",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","minakshithaku17",57,TRUE,FALSE,NA,NA
"RT @hemrajsinhvagh1: Modi blames past govts for the failures of current govt in foreign country, Such a shameless fellow  #NRIsRejectModi",FALSE,0,NA,2015-09-23 17:38:23,FALSE,NA,"646740408354127873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RavalRincle",7,TRUE,FALSE,NA,NA
"RT @manupubby: Reversing a long held UPA position, Modi govt allows US mil search teams in Arunachal, plays down Chinese concerns- http://t…",FALSE,0,NA,2015-09-23 17:38:23,FALSE,NA,"646740407443980289",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmolTikam",15,TRUE,FALSE,NA,NA
"RT @iMehulninama: Modi donated 6.3k cr to Nepal,5kCr-Bhutan,12.8k cr-B.Desh,6.5kCr to Mongolia &amp;they provided land to Adani to set Power Pl…",FALSE,0,NA,2015-09-23 17:38:23,FALSE,NA,"646740407263563778",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhiraj1041986",2,TRUE,FALSE,NA,NA
"RT @KanchanGupta: Stunning!

Bhagwati says UPA told US to deny visa to PM Modi.

If true, shame on UPA, and twice the shame on US. https://…",FALSE,0,NA,2015-09-23 17:38:23,FALSE,NA,"646740404843487234",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kishanc",84,TRUE,FALSE,NA,NA
"RT @FalakThakkarr: Modi cares more for the theatre of politics than the hard grind of passing laws or accomplishing reform through compromi…",FALSE,0,NA,2015-09-23 17:38:21,FALSE,NA,"646740398367490048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhiraj1041986",9,TRUE,FALSE,NA,NA
"PM Modi addresses Indian community in Ireland http://t.co/Ta72ZuXDTU http://t.co/IBmwJZQoXU",FALSE,0,NA,2015-09-23 17:38:20,FALSE,NA,"646740394298970114",NA,"<a href=""http://www.rr.com"" rel=""nofollow"">RRPostingApp</a>","IndiaPoliticsRR",0,FALSE,FALSE,NA,NA
"RT @RavibhusariBJP: Proud moment for Bharat. Irish children welcome Modi ji with Sanskrit songs.
Vasudhaiva Kutumbakam! 
#ModiInIreland htt…",FALSE,0,NA,2015-09-23 17:38:19,FALSE,NA,"646740390352175104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MeAbhishekDubey",60,TRUE,FALSE,NA,NA
"RT @_shriraj: Modi charm fades.First 15 months 2nd worst for Sensex.Sensex has gained just 4% since Modi took over d govt on May 26,2014. #…",FALSE,0,NA,2015-09-23 17:38:16,FALSE,NA,"646740377320431616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BhavsarTarang",1,TRUE,FALSE,NA,NA
